student_id,gender,study_hours,attendance_percent,previous_score,assignments_completed,sleep_hours,internet_hours,extracurricular_activity,study_method,parent_education,internet_access,final_score
STU12114,Female,5.9,70.0,70.6,8,6.72,3.11,Volunteering,Group Study,School,Yes,100.0
STU11214,male,4.07,79.0,70.9,2,6.03,4.37,Music,Online Course,College,Yes,96.0
STU11378,Male,5.85,81.8,77.6,7,4.71,3.82,Volunteering,Self Study,College,Yes,100.0
STU11762,Female,3.94,91.4,62.6,6,6.51,2.63,Sports,Online Course,College,Yes,100.0
STU11289,Female,9.51,99.4,69.0,2,7.23,3.1,None,Coaching,School,Yes,100.0
STU12004,Male,6.0,87.6,65.1,2,3.5,4.19,None,Coaching,College,Yes,95.2
STU11777,Female,2.81,87.2,,3,7.8,5.09,Clubs,Online Course,College,Yes,97.3
STU12239,Male,3.69,87.8,93.7,9,6.71,2.46,Sports,Self Study,School,Yes,100.0
STU11273,Male,4.75,83.0,75.5,9,7.21,5.12,Music,Self Study,School,Yes,100.0
STU11058,Male,6.32,82.9,53.3,2,7.19,4.18,Sports,Group Study,College,Yes,100.0
STU10809,Male,4.86,65.9,60.1,8,6.86,3.13,None,Self Study,College,Yes,100.0
STU10368,Female,3.86,96.4,,2,5.36,1.52,Sports,Self Study,College,Yes,100.0
STU10891,Female,3.83,65.1,79.6,2,5.34,4.8,Clubs,Self Study,College,Yes,85.1
STU10568,Female,4.19,83.2,51.0,7,0.9530799178582252,4.9,Clubs,Self Study,School,Yes,100.0
STU11369,Male,7.99,81.8,54.8,5,8.27,3.18,Clubs,Online Course,School,Yes,100.0
STU12252,Male,5.33,81.0,61.4,7,7.03,2.43,Clubs,Group Study,Postgraduate,Yes,100.0
STU12020,Male,6.45,57.1,69.3,3,5.39,2.67,None,Self Study,College,Yes,93.0
STU11492,Female,5.45,65.6,62.1,9,7.19,2.63,Music,Group Study,College,Yes,100.0
STU11473,Female,5.47,80.8,70.3,7,5.63,5.34,Volunteering,Group Study,School,Yes,100.0
STU10179,,5.26,56.7,43.6,6,8.2,0.52,None,Online Course,College,No,94.0
STU10802,Female,3.33,100.0,48.5,3,,2.55,,Self Study,Postgraduate,Yes,85.7
STU11526,Male,7.66,66.4,83.4,9,8.21,2.91,None,Self Study,School,No,100.0
STU11625,Male,5.88,87.0,58.1,5,4.93,3.72,None,Self Study,School,Yes,98.6
STU10728,Male,7.03,77.2,60.4,5,7.81,0.82,Sports,Self Study,College,Yes,100.0
STU10465,Female,3.27,78.3,54.3,4,5.44,5.53,Music,Self Study,College,Yes,83.2
STU10135,Female,2.56,91.7,60.4,10,6.54,1.56,Clubs,Self Study,College,Yes,100.0
STU10840,Male,4.83,58.5,48.0,4,5.55,2.5,Clubs,Online Course,School,Yes,86.3
STU11941,Other,2.95,82.0,56.4,7,9.21,3.32,Sports,Online Course,College,Yes,100.0
STU12332,Female,2.39,54.6,100.0,3,7.52,3.07,Sports,Online Course,,Yes,95.1
STU10706,Male,3.55,73.9,71.2,9,5.83,2.53,None,Self Study,College,Yes,98.2
STU10234,Female,7.91,,96.6,6,,5.58,Sports,Online Course,School,Yes,100.0
STU11407,Female,6.01,58.9,61.9,2,4.79,4.19,None,Coaching,School,Yes,87.1
STU10880,Female,5.44,74.7,84.2,5,8.18,3.52,Music,Self Study,Postgraduate,,100.0
STU12109,,3.9,64.3,76.2,8,6.39,1.35,,Coaching,College,Yes,93.1
STU10569,Male,6.6,100.0,66.3,3,7.0,5.8,Sports,Self Study,College,Yes,100.0
STU11476,Female,5.17,81.6,55.8,5,4.1,3.94,Sports,Coaching,College,No,89.8
STU11042,Male,7.45,82.2,67.1,5,4.74,3.68,Clubs,Self Study,School,Yes,100.0
STU10863,,5.38,80.6,53.5,4,6.2,3.88,None,Self Study,College,Yes,83.2
STU10650,Female,4.72,80.9,68.6,8,6.79,0.94,None,Online Course,College,Yes,100.0
STU10479,Female,5.51,70.7,80.4,4,5.87,2.0,Clubs,Online Course,College,No,98.0
STU11092,Female,5.52,94.2,49.9,10,5.71,5.66,Clubs,Self Study,Postgraduate,Yes,100.0
STU11905,Female,6.74,77.0,56.3,3,6.72,4.75,Clubs,Coaching,College,Yes,100.0
STU10633,Male,4.69,78.6,29.2,5,6.57,,None,Self Study,College,Yes,95.6
STU10044,Female,5.96,87.4,42.7,5,8.15,5.11,Clubs,Coaching,School,Yes,92.7
STU11491,Male,4.27,81.4,82.1,6,7.55,5.3,Sports,Self Study,College,No,100.0
STU10749,Male,4.76,88.5,57.7,3,5.44,3.24,None,Group Study,College,Yes,93.0
STU11709,Male,7.55,91.5,79.2,7,6.03,4.53,Clubs,,Postgraduate,No,100.0
STU10045,Female,5.73,77.5,38.2,5,6.76,2.28,None,Self Study,School,,89.0
STU11136,Male,8.08,62.5,67.7,8,7.62,4.66,Volunteering,Self Study,College,Yes,100.0
STU10743,,3.46,81.1,76.2,10,7.78,3.92,,Coaching,College,Yes,100.0
STU10171,Male,4.19,86.3,78.2,9,6.87,1.83,None,Coaching,College,Yes,100.0
STU10787,Male,5.59,61.7,,7,6.45,1.45,Sports,Coaching,College,No,84.8
STU11224,Male,7.07,88.9,78.6,2,8.25,2.04,None,Coaching,,Yes,100.0
STU11809,Female,5.58,82.0,78.9,7,,0.4,Volunteering,Self Study,Postgraduate,Yes,100.0
STU11889,Male,2.38,58.5,67.5,4,5.51,5.33,Clubs,Self Study,School,Yes,77.2
STU11318,Male,6.25,80.2,60.5,6,5.04,2.96,Sports,,College,No,97.8
STU10219,Male,5.19,90.5,80.4,2,4.33,21.883506280378555,Sports,,College,,100.0
STU10701,Female,7.73,71.1,64.1,2,5.61,2.74,Sports,Self Study,College,No,100.0
STU11334,Male,6.04,68.7,43.0,3,6.04,5.04,None,,Postgraduate,Yes,89.9
STU11711,Female,4.34,78.4,84.7,4,5.85,5.08,None,Group Study,School,Yes,100.0
STU10818,Female,5.99,70.0,64.2,9,8.18,3.4,None,Online Course,School,Yes,100.0
STU10174,Male,3.05,83.8,54.6,10,5.17,5.44,None,Self Study,Postgraduate,Yes,89.0
STU12282,Male,5.53,92.7,61.7,10,7.38,4.81,None,,Postgraduate,Yes,100.0
STU11248,Female,1.88,88.8,61.1,10,6.09,3.18,Music,Self Study,Postgraduate,Yes,92.7
STU11925,Female,5.39,66.0,67.6,2,6.55,2.18,None,Self Study,College,Yes,90.3
STU11056,Male,8.44,75.0,77.0,4,6.22,6.61,None,Group Study,College,Yes,95.1
STU12414,Female,2.62,64.9,80.9,4,6.81,3.83,Sports,,College,Yes,100.0
STU12259,Male,7.67,66.2,87.5,6,9.25,1.88,None,Online Course,Postgraduate,Yes,100.0
STU10510,Female,6.43,86.9,74.0,5,7.86,5.46,Volunteering,Group Study,Postgraduate,Yes,100.0
STU10421,Male,5.68,69.3,81.2,3,7.1,0.94,Music,Self Study,School,Yes,100.0
STU11287,Female,2.85,,85.3,4,6.02,3.13,Sports,Self Study,Postgraduate,Yes,97.1
STU11388,Male,3.33,73.0,46.9,6,6.14,3.36,Volunteering,Self Study,Postgraduate,Yes,88.1
STU12156,Male,6.7,77.0,79.9,5,5.9,24.120674909765896,Music,Coaching,School,Yes,100.0
STU10112,Female,5.98,87.9,64.7,9,7.63,4.0,Music,Self Study,School,Yes,100.0
STU10213,Male,5.56,77.1,,9,3.97,4.35,Volunteering,Self Study,School,Yes,100.0
STU11242,Female,3.5,68.9,67.5,8,8.24,4.72,,Self Study,College,Yes,97.0
STU11823,,7.94,60.1,100.0,7,5.86,0.51,Clubs,Coaching,School,Yes,100.0
STU10255,Female,5.01,90.9,79.0,9,4.42,4.17,None,Coaching,School,Yes,100.0
STU11453,Male,5.29,77.2,63.5,7,6.4,5.93,,Self Study,School,Yes,100.0
STU10431,Male,,69.0,46.9,9,6.25,3.82,Clubs,Self Study,Postgraduate,Yes,98.2
STU11573,Female,6.18,76.1,88.8,9,7.79,6.16,Clubs,Self Study,Postgraduate,Yes,100.0
STU12387,Female,2.28,80.7,77.7,3,6.18,1.52,None,Self Study,College,Yes,100.0
STU12041,Female,7.35,90.7,69.8,7,7.8,4.02,Sports,Self Study,College,Yes,100.0
STU11563, FEMALE ,,,74.5,8,7.67,2.69,Clubs,Self Study,College,Yes,100.0
STU12142,Female,4.84,70.6,79.8,3,4.76,0.0,,Group Study,College,Yes,98.5
STU10409,Female,1.51,63.6,52.8,6,6.54,3.27,Volunteering,Coaching,School,Yes,91.2
STU11085,Male,5.72,81.7,53.0,5,4.97,5.7,None,Self Study,College,No,86.2
STU11449,Male,4.89,77.3,61.7,3,6.75,5.35,None,Self Study,School,Yes,91.3
STU11303,Male,,75.4,64.7,2,7.38,6.03,Clubs,Coaching,School,Yes,100.0
STU11310,Female,4.8,82.8,47.7,7,6.16,3.83,Clubs,Group Study,College,No,98.3
STU10950,Male,0.5,77.5,100.0,6,7.87,1.31,None,Online Course,College,Yes,100.0
STU12067,Male,7.43,41.1,81.1,6,9.23,6.88,None,Self Study,,Yes,100.0
STU12229,Male,9.87,81.9,54.9,10,7.05,2.52,Sports,Online Course,College,Yes,100.0
STU11729,Female,5.65,70.0,93.6,5,8.11,5.54,Clubs,Online Course,College,Yes,100.0
STU11849,Female,4.73,82.9,25.1,3,8.53,1.61,Sports,Coaching,College,Yes,95.9
STU10582,Male,3.19,64.7,,10,5.43,3.51,Music,Coaching,School,No,100.0
STU12477,Female,1.44,79.8,53.7,7,7.07,2.6,Clubs,Self Study,College,Yes,100.0
STU10240,Female,4.44,94.7,65.4,9,6.65,0.0,Volunteering,,College,Yes,100.0
STU12211,Male,7.08,83.1,63.8,3,7.59,4.15,Volunteering,Self Study,Postgraduate,Yes,99.8
STU10938,Male,5.32,79.2,78.7,10,7.33,2.38,None,Self Study,College,Yes,100.0
STU12299,Female,4.49,72.6,68.7,7,8.71,3.36,Volunteering,Online Course,School,No,100.0
STU10499,Male,1.52,87.8,78.1,3,5.54,2.93,None,Self Study,School,Yes,95.3
STU11379,Female,6.08,62.4,72.5,3,7.19,4.0,Music,Online Course,School,Yes,95.7
STU10441,Female,5.12,97.7,67.9,10,,5.43,Volunteering,Self Study,School,Yes,100.0
STU11178,Female,5.8,85.3,68.5,5,5.26,3.32,Clubs,Coaching,Postgraduate,Yes,100.0
STU10508,Male,6.37,90.7,50.8,3,7.01,7.95,,Self Study,Postgraduate,Yes,100.0
STU10862,Female,2.62,50.9,,5,7.61,0.61,Sports,Self Study,Postgraduate,Yes,100.0
STU10189,Male,2.76,93.4,69.5,3,7.68,0.0,Sports,Coaching,School,Yes,100.0
STU11502,Male,4.25,88.7,88.3,9,7.32,2.45,Music,Online Course,College,Yes,100.0
STU11371,Male,2.47,78.2,76.7,4,10.0,3.11,Music,Self Study,Postgraduate,Yes,100.0
STU10195,Female,3.29,94.8,,4,8.07,6.25,Volunteering,Coaching,,Yes,100.0
STU12455,Male,4.68,91.5,63.4,9,7.4,0.45,Music,Coaching,College,No,100.0
STU11763,Female,4.24,72.4,63.8,9,7.51,4.09,Music,Self Study,College,Yes,100.0
STU11030,Female,7.59,76.7,37.2,10,9.09,4.13,None,Online Course,College,Yes,100.0
STU11933,Female,3.77,84.3,69.6,5,7.29,2.23,Music,Group Study,Postgraduate,No,100.0
STU10197,Female,6.79,83.9,69.0,9,5.6,3.98,Sports,Coaching,College,Yes,100.0
STU11256,Male,4.24,72.0,81.0,3,7.0,4.06,Clubs,Coaching,Postgraduate,Yes,100.0
STU10097,Male,2.85,92.9,83.1,6,7.91,3.86,Clubs,Self Study,College,Yes,100.0
STU12111,Female,,79.2,54.3,8,7.51,4.64,None,Online Course,Postgraduate,Yes,100.0
STU11962,Male,4.22,77.4,92.1,8,6.27,5.12,Volunteering,Group Study,School,Yes,100.0
STU10436,Male,4.29,45.1,58.6,10,6.65,7.22,Volunteering,Group Study,School,Yes,94.9
STU12317,Female,4.92,100.0,51.0,2,6.35,4.02,None,Self Study,School,Yes,87.8
STU12405,Female,3.77,100.0,100.0,6,6.5,3.52,Clubs,Group Study,School,Yes,100.0
STU10611,Female,3.43,80.8,80.9,4,6.51,1.04,None,Online Course,School,Yes,100.0
STU12084,Male,5.82,93.5,80.3,3,6.33,3.47,Clubs,Coaching,Postgraduate,Yes,100.0
STU10252,Male,6.18,73.3,88.0,8,6.28,8.48,Clubs,Online Course,College,Yes,100.0
STU11953,Other,1.95,61.9,81.3,5,6.55,2.09,None,Self Study,School,Yes,80.2
STU12429,Male,5.47,95.9,65.7,5,5.56,1.63,Sports,Self Study,Postgraduate,Yes,100.0
STU11846,Male,1.42,82.3,76.9,3,,5.81,Music,Self Study,Postgraduate,Yes,100.0
STU12373,Female,5.27,61.8,48.7,2,8.1,2.13,Volunteering,Online Course,,Yes,84.3
STU11593,Male,,68.8,79.0,9,6.96,0.69,None,Self Study,College,Yes,100.0
STU12423,Male,8.6,80.2,75.7,10,5.91,5.98,None,Self Study,School,No,100.0
STU11605,Male,4.88,73.8,78.1,3,6.69,2.15,Clubs,Self Study,Postgraduate,Yes,96.2
STU10597,Female,4.46,93.9,65.4,8,9.6,3.0,None,Group Study,School,Yes,100.0
STU12438,Female,6.05,,69.6,4,6.71,4.22,Volunteering,Online Course,College,Yes,100.0
STU10606,Male,6.58,78.5,50.3,9,6.43,3.32,,Self Study,Postgraduate,Yes,100.0
STU12194,Female,,69.1,54.4,4,7.33,1.14,None,Self Study,College,Yes,100.0
STU12233,Male,2.93,100.0,,10,3.84,6.15,Music,Group Study,School,Yes,100.0
STU11360,Male,4.99,82.7,,3,6.92,7.32,Music,Self Study,College,No,89.0
STU11390,Male,3.67,69.3,73.9,7,6.41,2.25,None,Group Study,Postgraduate,Yes,100.0
STU11088,Other,2.41,80.4,78.0,4,7.53,3.53,None,Self Study,School,Yes,93.7
STU11865,Male,6.08,51.8,64.0,9,8.54,5.38,Clubs,Self Study,Postgraduate,Yes,99.4
STU10297,Female,6.09,84.7,57.6,5,8.38,5.45,Volunteering,Online Course,School,Yes,100.0
STU10211,Male,7.33,77.4,73.3,9,8.62,4.92,Clubs,Group Study,School,Yes,100.0
STU11194,Male,7.0,62.1,64.9,6,,4.29,None,Self Study,School,Yes,100.0
STU10965,Female,5.43,83.9,94.7,3,7.74,2.02,Clubs,Self Study,School,Yes,100.0
STU11171,Female,3.2,83.9,86.6,4,8.83,2.79,Clubs,Self Study,Postgraduate,Yes,100.0
STU10522,Female,3.72,96.0,77.0,5,10.0,1.49,Sports,Self Study,School,Yes,100.0
STU10765,Male,6.18,72.1,63.1,4,4.81,4.92,Clubs,Coaching,College,No,100.0
STU10354,Female,7.13,80.9,56.4,6,6.67,4.29,None,Online Course,School,Yes,100.0
STU10841,Male,9.31,73.8,59.8,10,7.76,2.47,Sports,Online Course,College,Yes,100.0
STU11951,Male,5.61,68.8,91.9,10,8.16,,Sports,Coaching,Postgraduate,Yes,100.0
STU10694,Male,1.0,63.8,88.1,4,6.61,1.88,Volunteering,Online Course,College,Yes,97.9
STU10529,Male,6.02,67.9,64.8,8,6.92,4.29,Sports,Online Course,College,Yes,100.0
STU10388,Female,6.55,79.7,64.3,4,5.95,3.69,Music,Self Study,Postgraduate,Yes,100.0
STU10622,Male,5.56,80.2,70.7,6,,2.17,Volunteering,Online Course,College,Yes,100.0
STU12235,Female,3.65,73.3,73.3,5,5.36,6.35,Sports,Group Study,College,Yes,95.8
STU11437,Other,4.62,92.4,80.6,10,7.99,2.98,None,Coaching,College,Yes,100.0
STU10333,Other,4.1,89.6,72.3,10,8.07,5.8,Clubs,Self Study,College,Yes,100.0
STU11868,Male,6.86,75.9,70.1,10,,4.47,Sports,,College,Yes,100.0
STU11312,Male,7.11,74.3,85.1,8,7.11,3.44,Volunteering,Self Study,School,Yes,100.0
STU11338,Male,6.82,76.3,48.9,9,7.83,2.97,Volunteering,Online Course,School,Yes,100.0
STU11356,Female,6.43,55.5,65.4,6,7.16,5.98,Sports,Coaching,Postgraduate,Yes,100.0
STU10621,Female,4.62,82.0,100.0,6,6.67,3.99,Clubs,Self Study,Postgraduate,Yes,100.0
STU12435,Female,5.01,73.4,54.3,5,5.9,6.84,None,Online Course,,Yes,96.8
STU10531,Male,4.78,76.8,57.9,4,5.07,3.18,Volunteering,Group Study,Postgraduate,No,76.0
STU11106,Female,6.9,87.7,70.4,5,6.77,4.49,None,Self Study,School,Yes,100.0
STU11609,Female,5.06,95.6,76.7,6,6.15,2.53,None,Online Course,College,Yes,100.0
STU11615,Female,4.14,68.3,91.6,10,8.91,3.82,None,Self Study,College,Yes,100.0
STU11057,Female,5.8,75.5,60.5,2,9.26,0.0,Volunteering,Self Study,School,Yes,100.0
STU11001,Other,5.38,75.1,71.2,8,5.48,1.82,Volunteering,Online Course,School,Yes,100.0
STU10889,Male,0.5,59.4,80.6,10,7.74,0.42,Sports,Self Study,Postgraduate,Yes,100.0
STU10319,Male,7.48,87.0,41.0,3,8.02,4.47,Sports,Coaching,College,Yes,100.0
STU10299,Male,1.99,84.9,76.7,4,7.63,5.76,Sports,Online Course,College,No,93.2
STU12379,Male,5.59,84.3,49.1,10,7.75,5.18,Sports,Group Study,College,Yes,100.0
STU10446,Female,2.55,80.7,58.1,5,6.39,6.03,Clubs,Online Course,College,Yes,92.4
STU11903,Male,6.71,69.8,57.7,2,7.57,3.59,Volunteering,Coaching,School,Yes,100.0
STU10238,Male,5.17,75.2,72.7,8,8.21,1.49,None,Self Study,College,Yes,100.0
STU10110,Male,2.05,62.0,76.5,6,6.5,5.66,Clubs,Group Study,College,Yes,91.7
STU11464,Male,6.42,,78.6,5,10.0,3.32,Music,Online Course,College,Yes,100.0
STU10820,Male,3.22,87.3,72.8,2,5.02,4.39,,Group Study,School,Yes,97.0
STU10253,Female,8.96,58.6,91.9,7,7.55,5.14,Sports,Coaching,College,Yes,100.0
STU12085,Male,7.54,74.5,80.2,10,6.83,1.39,None,Self Study,School,Yes,100.0
STU11894,Male,1.19,66.9,81.2,7,6.85,4.24,Sports,Group Study,School,Yes,95.8
STU10922,Female,3.77,76.6,91.9,3,7.66,2.77,Volunteering,Self Study,College,Yes,100.0
STU12149,Female,,80.0,81.6,2,6.38,4.93,None,Online Course,School,Yes,98.4
STU10803,Female,6.19,89.3,77.8,7,7.28,5.12,None,Self Study,Postgraduate,Yes,100.0
STU11152,Male,7.43,81.1,56.8,9,8.81,3.08,Music,Group Study,School,Yes,100.0
STU11610,Male,4.73,78.4,59.2,10,7.49,3.51,Clubs,Online Course,College,Yes,100.0
STU11128,Female,5.3,66.9,74.9,5,6.58,3.83,None,Online Course,College,Yes,100.0
STU10756,Female,7.77,,71.3,10,7.16,3.68,Clubs,Online Course,School,Yes,100.0
STU12377,Female,6.51,89.2,53.1,9,7.7,3.33,Volunteering,,School,Yes,100.0
STU11971,Male,5.03,81.6,70.9,7,7.9,4.56,Clubs,Group Study,Postgraduate,Yes,100.0
STU11232,Male,3.25,86.4,80.1,3,4.88,1.89,Clubs,Self Study,College,Yes,96.3
STU12359,Male,7.92,71.7,49.2,5,6.22,2.44,None,Self Study,Postgraduate,Yes,98.2
STU11980,Male,6.48,82.7,45.8,8,6.19,7.11,Volunteering,Online Course,College,No,100.0
STU10994,Male,8.13,80.9,63.6,2,6.01,5.42,Clubs,Self Study,Postgraduate,Yes,100.0
STU10782,Female,5.34,87.2,46.5,4,8.33,5.57,None,Self Study,Postgraduate,Yes,88.3
STU10882,Male,7.4,81.9,62.9,8,6.8,7.24,Music,Coaching,School,Yes,100.0
STU12499,Female,4.4,78.6,60.8,10,7.55,6.85,None,Self Study,College,Yes,100.0
STU11942,Male,5.69,52.1,39.7,6,8.32,6.33,None,Online Course,College,Yes,82.5
STU11561,Female,4.72,80.9,67.9,2,6.63,3.79,Sports,Self Study,College,Yes,100.0
STU12285,Female,6.42,78.8,46.1,8,5.97,2.57,None,Self Study,College,Yes,100.0
